OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
233 E 59TH  Manhattan,,http://streeteasy.com/building/233-east-59-street-manhattan,Owned by: PENN PROPERTIES LLC,"Rentals Listings 1 active rental ($55 per ft² avg, $2,300 avg price)",,/nyc/property_activity/past_transactions_component/855082?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855082?hide_header=true&show_rentals=true,2
237 E 59TH  Manhattan,,http://streeteasy.com/building/235-east-59-street-manhattan,Owned by: 59TH ST ASSOCIATES,"Rentals Listings 2 active rentals ($1,962 avg price)",,/nyc/property_activity/past_transactions_component/855083?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855083?hide_header=true&show_rentals=true,3
243 E 59TH  Manhattan,,http://streeteasy.com/building/243-east-59-street-manhattan,Owned by: CINFIORS LTD,"4 previous rentals ($1,845 avg price)",,/nyc/property_activity/past_transactions_component/855096?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855096?hide_header=true&show_rentals=true,0
318 E 59TH  Manhattan,,http://streeteasy.com/building/318-east-59-street-new_york,Owned by: 318-20 CO LLC,"Rentals Listings 2 active rentals ($69 per ft² avg, $2,975 avg price)",,/nyc/property_activity/past_transactions_component/850213?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850213?hide_header=true&show_rentals=true,3
320 E 59TH  Manhattan,,http://streeteasy.com/building/320-east-59-street-new_york,Owned by: 318-20 CO LLC,"21 previous rentals ($51 per ft² avg, $1,990 avg price)",,/nyc/property_activity/past_transactions_component/850212?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850212?hide_header=true&show_rentals=true,0
322 E 59TH  Manhattan,,http://streeteasy.com/building/322-east-59-street-manhattan,Owned by: NP59 LLC,"2 previous sales ($777 per ft² avg, $13,700,000 avg price)",,/nyc/property_activity/past_transactions_component/850211?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850211?hide_header=true&show_rentals=true,2
324 E 59TH  Manhattan,,http://streeteasy.com/building/324-east-59-street-manhattan,Owned by: 324 E59TH ST ASSOC,"14 previous rentals ($1,746 avg price)",,/nyc/property_activity/past_transactions_component/850210?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850210?hide_header=true&show_rentals=true,0
328 E 59TH  Manhattan,,http://streeteasy.com/building/328-east-59-street-manhattan,Owned by: NP59 LLC,"9 previous rentals ($72 per ft² avg, $2,500 avg price)",,/nyc/property_activity/past_transactions_component/850209?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850209?hide_header=true&show_rentals=true,0
346 E 59TH  Manhattan,,http://streeteasy.com/building/1079-1-avenue-manhattan,Owned by: KOSCAL 59 LLC,"25 previous rentals ($49 per ft² avg, $2,651 avg price)",,/nyc/property_activity/past_transactions_component/850204?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850204?hide_header=true&show_rentals=true,0
400 E 59TH  Manhattan,,http://streeteasy.com/building/400-east-59-street-new_york,Owned by: 40059 OWNERS CORP,"Sales Listings 5 active sales ($1,179,600 avg price)",,/nyc/property_activity/past_transactions_component/8566730?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8566730?hide_header=true&show_rentals=true,8
115 E 60TH  Manhattan,,http://streeteasy.com/building/115-east-60-street-manhattan,Owned by: VRAHOS LLC,"2 previous rentals ($1,850 avg price)",,/nyc/property_activity/past_transactions_component/853247?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/853247?hide_header=true&show_rentals=true,0
117 E 60TH  Manhattan,,http://streeteasy.com/building/117-east-60-street-manhattan,Owned by: VRAHOS LLC,"5 previous rentals ($2,010 avg price)",,/nyc/property_activity/past_transactions_component/853248?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/853248?hide_header=true&show_rentals=true,0
119 E 60TH  Manhattan,,http://streeteasy.com/building/119-east-60-street-manhattan,"Owned by: VRAHOS, LLC","1 previous rental ($1,900 avg price)",,/nyc/property_activity/past_transactions_component/853249?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/853249?hide_header=true&show_rentals=true,0
127 E 60TH  Manhattan,,http://streeteasy.com/building/127-east-60-street-manhattan,Owned by: 156-03 NB REALTY LLC,"9 previous rentals ($41 per ft² avg, $2,052 avg price)",,/nyc/property_activity/past_transactions_component/853251?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/853251?hide_header=true&show_rentals=true,0
129 E 60TH  Manhattan,,http://streeteasy.com/building/129-east-60-street-manhattan,"Owned by: 129 EAST 60 STREET, L",,,/nyc/property_activity/past_transactions_component/853252?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/853252?hide_header=true&show_rentals=true,0
209 E 60TH  Manhattan,,http://streeteasy.com/building/209-east-60-street-manhattan,Owned by: 3RD AND 60TH ASOCIATE,"9 previous rentals ($57 per ft² avg, $2,376 avg price)",,/nyc/property_activity/past_transactions_component/855356?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855356?hide_header=true&show_rentals=true,0
211 E 60TH  Manhattan,,http://streeteasy.com/building/211-east-60-street-manhattan,Owned by: 3RD AND 60TH ASOCIATE,"9 previous rentals ($2,669 avg price)",,/nyc/property_activity/past_transactions_component/855357?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855357?hide_header=true&show_rentals=true,0
215 E 60TH ST Manhattan,,http://streeteasy.com/building/217-east-60-street-manhattan,"Owned by: D'AGOSTINO, JANE","Rentals Listings 2 active rentals ($2,850 avg price)",,/nyc/property_activity/past_transactions_component/855358?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855358?hide_header=true&show_rentals=true,3
216 E 60TH ST Manhattan,,http://streeteasy.com/building/220-east-60-street-new_york,Owned by: 220 E 60TH ST CONDO,"Sales Listings 4 active sales ($1,331,250 avg price)",,/nyc/property_activity/past_transactions_component/855353?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855353?hide_header=true&show_rentals=true,10
217 E 60TH ST Manhattan,,http://streeteasy.com/building/217-east-60-street-manhattan,"Owned by: D'AGOSTINO, JANE","Rentals Listings 2 active rentals ($2,850 avg price)",,/nyc/property_activity/past_transactions_component/855358?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/855358?hide_header=true&show_rentals=true,3
