OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
366 E 33RD ST,,http://streeteasy.com/search?utf8=%E2%9C%93&search=366%20E%2033RD%20ST,,0,,,0,,,0,,,0,,
367 E 33RD ST,,http://streeteasy.com/building/the-lanthian,Owned by: Verbena Road Holdings Affiliate,7000,"#21B - 377 East 33rd Street

Open House: Sat, May 6 (11:00 AM - 4:00 PM)   ADD TO PLANNER $7,000   NO FEE 4 rooms, 2 beds 2 baths 1,163 ft²",http://streeteasy.com/building/the-lanthian/21b,6215,"#12C - 377 East 33rd Street
$6,215  NO FEE 5 rooms, 3 beds 2 baths",http://streeteasy.com/building/the-lanthian/12c,5900,"#15L - 377 East 33rd Street

Open House: Thu, May 4 (4:00 PM - 7:00 PM)   ADD TO PLANNER $5,900   NO FEE 4 rooms, 2 beds 2 baths 1,155 ft²",http://streeteasy.com/building/the-lanthian/15l,5390,"#14J - 377 East 33rd Street

Open House: Fri, May 5 (11:00 AM - 4:00 PM)   ADD TO PLANNER $5,390   NO FEE 6 rooms, 2 beds 2 baths",http://streeteasy.com/building/the-lanthian/14j
368 E 33RD ST,,http://streeteasy.com/search?utf8=%E2%9C%93&search=368%20E%2033RD%20ST,,0,,,0,,,0,,,0,,
369 E 33RD ST,,http://streeteasy.com/building/the-lanthian,Owned by: Verbena Road Holdings Affiliate,7000,"#21B - 377 East 33rd Street

Open House: Sat, May 6 (11:00 AM - 4:00 PM)   ADD TO PLANNER $7,000   NO FEE 4 rooms, 2 beds 2 baths 1,163 ft²",http://streeteasy.com/building/the-lanthian/21b,6215,"#12C - 377 East 33rd Street
$6,215  NO FEE 5 rooms, 3 beds 2 baths",http://streeteasy.com/building/the-lanthian/12c,5900,"#15L - 377 East 33rd Street

Open House: Thu, May 4 (4:00 PM - 7:00 PM)   ADD TO PLANNER $5,900   NO FEE 4 rooms, 2 beds 2 baths 1,155 ft²",http://streeteasy.com/building/the-lanthian/15l,5390,"#14J - 377 East 33rd Street

Open House: Fri, May 5 (11:00 AM - 4:00 PM)   ADD TO PLANNER $5,390   NO FEE 6 rooms, 2 beds 2 baths",http://streeteasy.com/building/the-lanthian/14j
370 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york,,879000,"#7P - 300 East 33rd Street

Open House: Sun, May 7 (11:00 AM - 12:30 PM, by appt. only)   ADD TO PLANNER $879,000   3.5 rooms, 1 bed 1 bath 747 ft²",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/7p,795000,"#17A - 300 East 33rd Street
$795,000   IN CONTRACT 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/17a,3695,"#17L - 300 East 33rd Street
$3,695   3.5 rooms, 1 bed 1 bath 886 ft²",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/17l,3300,"#4K - 300 E 33rd Street
$3,300  IN CONTRACT 1 bed 1 bath 735 ft²",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/4k
371 E 33RD ST,,http://streeteasy.com/building/the-lanthian,Owned by: Verbena Road Holdings Affiliate,7000,"#21B - 377 East 33rd Street

Open House: Sat, May 6 (11:00 AM - 4:00 PM)   ADD TO PLANNER $7,000   NO FEE 4 rooms, 2 beds 2 baths 1,163 ft²",http://streeteasy.com/building/the-lanthian/21b,6215,"#12C - 377 East 33rd Street
$6,215  NO FEE 5 rooms, 3 beds 2 baths",http://streeteasy.com/building/the-lanthian/12c,5900,"#15L - 377 East 33rd Street

Open House: Thu, May 4 (4:00 PM - 7:00 PM)   ADD TO PLANNER $5,900   NO FEE 4 rooms, 2 beds 2 baths 1,155 ft²",http://streeteasy.com/building/the-lanthian/15l,5390,"#14J - 377 East 33rd Street

Open House: Fri, May 5 (11:00 AM - 4:00 PM)   ADD TO PLANNER $5,390   NO FEE 6 rooms, 2 beds 2 baths",http://streeteasy.com/building/the-lanthian/14j
372 E 33RD ST,,http://streeteasy.com/search?utf8=%E2%9C%93&search=372%20E%2033RD%20ST,,0,,,0,,,0,,,0,,
373 E 33RD ST,,http://streeteasy.com/building/the-lanthian,Owned by: Verbena Road Holdings Affiliate,7000,"#21B - 377 East 33rd Street

Open House: Sat, May 6 (11:00 AM - 4:00 PM)   ADD TO PLANNER $7,000   NO FEE 4 rooms, 2 beds 2 baths 1,163 ft²",http://streeteasy.com/building/the-lanthian/21b,6215,"#12C - 377 East 33rd Street
$6,215  NO FEE 5 rooms, 3 beds 2 baths",http://streeteasy.com/building/the-lanthian/12c,5900,"#15L - 377 East 33rd Street

Open House: Thu, May 4 (4:00 PM - 7:00 PM)   ADD TO PLANNER $5,900   NO FEE 4 rooms, 2 beds 2 baths 1,155 ft²",http://streeteasy.com/building/the-lanthian/15l,5390,"#14J - 377 East 33rd Street

Open House: Fri, May 5 (11:00 AM - 4:00 PM)   ADD TO PLANNER $5,390   NO FEE 6 rooms, 2 beds 2 baths",http://streeteasy.com/building/the-lanthian/14j
374 E 33RD ST,,http://streeteasy.com/search?utf8=%E2%9C%93&search=374%20E%2033RD%20ST,,0,,,0,,,0,,,0,,
375 E 33RD ST,,http://streeteasy.com/building/the-lanthian,Owned by: Verbena Road Holdings Affiliate,7000,"#21B - 377 East 33rd Street

Open House: Sat, May 6 (11:00 AM - 4:00 PM)   ADD TO PLANNER $7,000   NO FEE 4 rooms, 2 beds 2 baths 1,163 ft²",http://streeteasy.com/building/the-lanthian/21b,6215,"#12C - 377 East 33rd Street
$6,215  NO FEE 5 rooms, 3 beds 2 baths",http://streeteasy.com/building/the-lanthian/12c,5900,"#15L - 377 East 33rd Street

Open House: Thu, May 4 (4:00 PM - 7:00 PM)   ADD TO PLANNER $5,900   NO FEE 4 rooms, 2 beds 2 baths 1,155 ft²",http://streeteasy.com/building/the-lanthian/15l,5390,"#14J - 377 East 33rd Street

Open House: Fri, May 5 (11:00 AM - 4:00 PM)   ADD TO PLANNER $5,390   NO FEE 6 rooms, 2 beds 2 baths",http://streeteasy.com/building/the-lanthian/14j
