OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
127 E 36TH ST,,http://streeteasy.com/building/127-east-36-street-new_york,Owned by: 177 MULBERRY REALTY C,0,,,0,,,0,,,0,,
145 E 36TH ST,,http://streeteasy.com/building/145-east-36-street-manhattan,Owned by: 145 EAST 36TH STREET,0,,,0,,,0,,,0,,
15 E 36TH ST,,http://streeteasy.com/building/15-east-36-street-new_york,Owned by: 15 EAST 36 OWNER LLC,0,,,0,,,0,,,0,,
161 E 36TH ST,,http://streeteasy.com/building/161-east-36-street-new_york,,0,,,0,,,0,,,0,,
162 E 36TH ST,,http://streeteasy.com/building/540-3-avenue-manhattan,Owned by: THIRD AVE. PAVILLION,0,,,0,,,0,,,0,,
163 E 36TH ST,,http://streeteasy.com/building/163-east-36-street-new_york,Owned by: 36 AND 37 REALTY LLC,0,,,0,,,0,,,0,,
162 E 36TH ST,,http://streeteasy.com/building/540-3-avenue-manhattan,Owned by: THIRD AVE. PAVILLION,0,,,0,,,0,,,0,,
165 E 36TH ST,,http://streeteasy.com/building/542-3-avenue-manhattan,Owned by: KAYWEIN REALTY CO,0,,,0,,,0,,,0,,
200 E 36TH ST,,http://streeteasy.com/building/200-east-36-street-new_york,Owned by: 200 E 36TH OWNERS COR,1025000,"#17F - 200 East 36th Street
$1,025,000  IN CONTRACT 4 rooms, 2 beds 1 bath, 1 half bath",http://streeteasy.com/building/200-east-36-street-new_york/17f,929000,"#5D - 200 East 36th Street

Open House: Sun, May 7 (2:00 PM - 3:00 PM)   ADD TO PLANNER $929,000   4 rooms, 1 bed 1 bath 950 ft²",http://streeteasy.com/building/200-east-36-street-new_york/5d,749999,"#13C - 200 East 36th Street
$749,999   IN CONTRACT 3 rooms, 1 bed 1 bath 720 ft²",http://streeteasy.com/building/200-east-36-street-new_york/13c,739000,"#8B - 200 East 36th Street

Open House: Sun, May 7 (1:00 PM - 2:00 PM)   ADD TO PLANNER $739,000   3 rooms, 1 bed 1 bath 750 ft²",http://streeteasy.com/building/200-east-36-street-new_york/8b
201 E 36TH ST,,http://streeteasy.com/building/murray-hill-terrace,Owned by: MURRAY HILL TERRACE C,1500000,"#19D - 201 East 36th Street
$1,500,000   IN CONTRACT 3 rooms, 2 beds 1 bath 1,150 ft²",http://streeteasy.com/building/murray-hill-terrace/19d,980000,"#15E - 201 East 36th Street
$980,000  IN CONTRACT 4 rooms, 1 bed 1 bath 808 ft²",http://streeteasy.com/building/murray-hill-terrace/15e,935000,"#3D - 201 East 36th Street

Open House: Sun, May 7 (11:30 AM - 1:00 PM)   ADD TO PLANNER $935,000  3.5 rooms, 1 bed 1 bath 904 ft²",http://streeteasy.com/building/murray-hill-terrace/3d,3300,"#11E - 201 East 36th Street
$3,300  1 bed 1 bath",http://streeteasy.com/building/murray-hill-terrace/11e
