OriginalAddress,ChosenAddress,Url,Owner,AvaliableUnitDetails,AvaliableUnitUrl,AvaliableUnitDetails,AvaliableUnitUrl,AvaliableUnitDetails,AvaliableUnitUrl
587 1ST AVE,,http://streeteasy.com/building/587-1-avenue-manhattan,Owned by: FIRST 34 REALTY LLC,"#3R - 587 1st Avenue
$2,275  3 rooms, 1 bed 1 bath",http://streeteasy.com/building/587-1-avenue-manhattan/3r,,,,
589 1ST AVE,,http://streeteasy.com/building/589-1-avenue-manhattan,Owned by: FIRST KLP REALTY LLC,"#3 - 589 First Avenue
$2,400   4 rooms, 1 bed 1 bath",http://streeteasy.com/building/589-1-avenue-manhattan/3,,,,
591 1ST AVE,,http://streeteasy.com/building/591-1-avenue-manhattan,Owned by: FIRST 34 REALTY LLC,,,,,,
489 2ND AVE,489 Second Avenue,http://streeteasy.com/building/489-2-avenue-manhattan,Owned by: 489 SECOND AVENUE LL,,,,,,
493 2ND AVE,493 Second Avenue,http://streeteasy.com/building/493-2-avenue-manhattan,Owned by: 493 2ND LLC,"#11 - 493 2nd Avenue
$2,995   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/11,"#17 - 493 2nd Avenue
$2,995   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/17,"#1 - 493 2nd Avenue
$2,945   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/1
519 2ND AVE,519 Second Avenue,http://streeteasy.com/building/519-2-avenue-new_york,Manager: Parkoff Organization,,,,,,
530 2ND AVE,,http://streeteasy.com/building/530-2-avenue-new_york,Website: 530 2nd Avenue,"#7A - 530 2nd Avenue
$2,495  NO FEE 1 bed 1 bath",http://streeteasy.com/building/530-2-avenue-new_york/7a,,,,
555 2ND AVE,,http://streeteasy.com/building/555-2-avenue-manhattan,Owned by: 5557 LLC,,,,,,
571 2ND AVE,,http://streeteasy.com/building/571-2-avenue-new_york," ","#4D - 571 2nd Avenue
$2,495  NO FEE 1 bed 1 bath 800 ft²",http://streeteasy.com/building/571-2-avenue-new_york/4d,,,,
575 2ND AVE,,http://streeteasy.com/building/575-2-avenue-manhattan,Owned by: TAD 575 SECOND AVENUE,,,,,,
577 2ND AVE,,http://streeteasy.com/building/577-2-avenue-new_york,Manager: ELK Investors,"#62 - 577 2nd Avenue
$6,830   NO FEE 7 rooms, 3 beds 2 baths, 1 half bath",http://streeteasy.com/building/577-2-avenue-new_york/62,"#52 - 577 2nd Avenue
$4,695   NO FEE 5 rooms, 3 beds 1 bath",http://streeteasy.com/building/577-2-avenue-new_york/52,"#50 - 577 2nd Avenue
$4,695   NO FEE 6 rooms, 3 beds 1 bath 945 ft²",http://streeteasy.com/building/577-2-avenue-new_york/50
605 2ND AVE,,http://streeteasy.com/building/605-2-avenue-manhattan,Owned by: 203 E 94 STREET REALT,,,,,,
635 2ND AVE,635 Second Avenue,http://streeteasy.com/building/635-2-avenue-manhattan,Owned by: 635 SECOND AVE RLTY C,,,,,,
643 2ND AVE,643 Second Avenue,http://streeteasy.com/building/643-2-avenue-manhattan,Owned by: JRD REALTY CORP.,,,,,,
645 2ND AVE,645 Second Avenue,http://streeteasy.com/building/645-2-avenue-new_york,Manager: Sir Realty,,,,,,
647 2ND AVE,647 Second Avenue,http://streeteasy.com/building/647-2-avenue-new_york,Manager: Sir Realty,,,,,,
649 2ND AVE,649 Second Avenue,http://streeteasy.com/building/649-2-avenue-new_york," ","#5A - 649 2nd Avenue
$395,000   IN CONTRACT studio 1 bath 400 ft²",http://streeteasy.com/building/649-2-avenue-new_york/5a,,,,
650 2ND AVE,650 1/2 Greene Avenue,http://streeteasy.com/other_property/650-and-a-half-greene-avenue-brooklyn,No previous listings or recorded sales for this property.,,,,,,
651 2ND AVE,65 1/2 Roosevelt Avenue,http://streeteasy.com/building/65-and-a-half-roosevelt-avenue-staten_island,No previous listings or recorded sales for this house.,,,,,,
